Name,Address,City,Category,Rating,URL
TGI Fridays,51780 E Gun Hill Rd,Bronx,American (Traditional),2.5,http://www.yelp.com/biz/tgi-fridays-bronx
Dallas BBQ,2160 Bartow Ave,Bronx,Barbeque,2.5,http://www.yelp.com/biz/dallas-bbq-bronx-2
Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
Pelham Bay Diner,1920 E Gun Hill Rd,Bronx,Diners,2.5,http://www.yelp.com/biz/pelham-bay-diner-bronx
Vegans Delight,3565 Boston Rd,New York,Vegan,4.0,http://www.yelp.com/biz/vegans-delight-new-york
Richie Rich Carribean,3357 Fish Ave,Bronx,Ethnic Food,3.5,http://www.yelp.com/biz/richie-rich-carribean-bronx
Venezia Pizzeria,1115 Astor Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/venezia-pizzeria-bronx
Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
Nick's Pizza Restaurant,1356 E Gun Hill Rd,Bronx,Pizza,3.0,http://www.yelp.com/biz/nicks-pizza-restaurant-bronx
Dragon City,2102 Bartow Ave,Bronx,Chinese,3.0,http://www.yelp.com/biz/dragon-city-bronx
Red Lobster,2090 Bartow Avenue,Bronx,Seafood,2.5,http://www.yelp.com/biz/red-lobster-bronx
The Dumplin Shop,1530 E 222st,Bronx,Cafes,5.0,http://www.yelp.com/biz/the-dumplin-shop-bronx-2
Checkers,344 Baychester Ave,Bronx,American (Traditional),3.0,http://www.yelp.com/biz/checkers-bronx
Rich Restaurant,2485 Eastchester Rd,Bronx,Chinese,4.0,http://www.yelp.com/biz/rich-restaurant-bronx
Applebees,2276 Bartow Ave,Bronx,Bars,2.0,http://www.yelp.com/biz/applebees-bronx-4
Battaglia's Market,2503 Eastchester Rd,Bronx,Meat Shops,4.5,http://www.yelp.com/biz/battaglias-market-bronx
Three Boys From Italy,704 Burke Ave,Bronx,Pizza,4.5,http://www.yelp.com/biz/three-boys-from-italy-bronx
Cooyah Restaurant,3563 Boston Rd,New York,Ethnic Food,4.5,http://www.yelp.com/biz/cooyah-restaurant-new-york
Good To Go,1894 Eastchester Rd,Bronx,American (Traditional),3.5,http://www.yelp.com/biz/good-to-go-bronx
Emilio's Pizza,1051 Morris Park Ave,Bronx,Pizza,4.0,http://www.yelp.com/biz/emilios-pizza-bronx-2
Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,Pizza,4.5,http://www.yelp.com/biz/sorrento-pizzeria-bronx
